Name of medicine,EMA product number,Medicine status,International non-proprietary name (INN) / common name,Active substance
ellaOne,EMEA/H/C/001027,Authorised,ulipristal acetate,ulipristal
Bortezomib Accord,EMEA/H/C/003984,Authorised,bortezomib,bortezomib
Blitzima,EMEA/H/C/004723,Authorised,rituximab,rituximab
Yuflyma,EMEA/H/C/005188,Authorised,adalimumab,adalimumab
Ibandronic acid Accord,EMEA/H/C/002638,Authorised,ibandronic acid,ibandronic acid
Tigecycline Accord,EMEA/H/C/005114,Authorised,tigecycline,tigecycline
Prasugrel Viatris (previously Prasugrel Mylan),EMEA/H/C/004644,Authorised,prasugrel,prasugrel besilate
Voranigo,EMEA/H/C/006284,Authorised,vorasidenib,vorasidenib
Eylea,EMEA/H/C/002392,Authorised,aflibercept,aflibercept
Grastofil,EMEA/H/C/002150,Withdrawn,filgrastim,filgrastim
Alhemo,EMEA/H/C/005938,Authorised,concizumab,concizumab
Zoledronic acid Teva,EMEA/H/C/002439,Authorised,zoledronic acid,zoledronic acid
Equilis EHV 1+4,EMEA/V/C/006147,Application withdrawn,Equine herpesvirus vaccine (inactivated),"equine herpesvirus 1, strain RAC-H and equine herpesvirus 4, strain 2252"
Xaluprine (previously Mercaptopurine Nova Laboratories),EMEA/H/C/002022,Authorised,mercaptopurine,6-mercaptopurine monohydrate
Karvezide,EMEA/H/C/000221,Authorised,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide
CoAprovel,EMEA/H/C/000222,Authorised,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide
Padcev,EMEA/H/C/005392,Authorised,enfortumab vedotin,Enfortumab vedotin
ProQuad,EMEA/H/C/000622,Authorised,"measles, mumps, rubella and varicella vaccine (live)","virus, live attenuated, measles, virus, live attenuated, mumps, virus, live attenuated, rubella, virus, live attenuated, varicella"
Riulvy,EMEA/H/C/006427,Authorised,tegomil fumarate,tegomil fumarate
Lacosamide Adroiq,EMEA/H/C/006047,Authorised,lacosamide,lacosamide
Emtricitabine / Rilpivirine / Tenofovir Alafenamide Viatris,EMEA/H/C/006491,Authorised,emtricitabine;rilpivirine;tenofovir alafenamide,emtricitabine;rilpivirine hydrochloride;tenofovir alafenamide fumarate
Ixchiq,EMEA/H/C/005797,Authorised,Chikungunya vaccine (live),"Chikungunya virus, strain CHIKV LR2006-OPY1, live attenuated"
Korjuny,EMEA/H/C/005697,Authorised,catumaxomab,catumaxomab
Steqeyma,EMEA/H/C/005918,Authorised,ustekinumab,ustekinumab
Avtozma,EMEA/H/C/006196,Authorised,tocilizumab,tocilizumab
Vaxchora,EMEA/H/C/003876,Authorised,"cholera vaccine, oral, live","vibrio cholerae, strain cvd 103-hgr, live"
Olanzapine Apotex,EMEA/H/C/001178,Withdrawn,olanzapine,olanzapine
Pelmeg,EMEA/H/C/004700,Authorised,pegfilgrastim,pegfilgrastim
Cegfila (previously Pegfilgrastim Mundipharma),EMEA/H/C/005312,Authorised,pegfilgrastim,pegfilgrastim
Romvimza,EMEA/H/C/006363,Authorised,vimseltinib,vimseltinib dihydrate
Jayempi,EMEA/H/C/005055,Authorised,azathioprine,azathioprine
Epysqli,EMEA/H/C/006036,Authorised,,Eculizumab
Wezenla,EMEA/H/C/006132,Authorised,ustekinumab,ustekinumab
Calquence,EMEA/H/C/005299,Authorised,acalabrutinib,acalabrutinib;acalabrutinib maleate
Ordspono,EMEA/H/C/006215,Authorised,odronextamab,odronextamab
Trixeo Aerosphere,EMEA/H/C/004983,Authorised,formoterol;glycopyrronium bromide;budesonide,formoterol fumarate dihydrate;glycopyrronium bromide;Budesonide
Tepkinly,EMEA/H/C/005985,Authorised,epcoritamab,epcoritamab
Acvybra,EMEA/H/C/006734,Opinion,denosumab,denosumab
Kyinsu,EMEA/H/C/006279,Opinion,insulin icodec;semaglutide,insulin icodec;semaglutide
Xbonzy,EMEA/H/C/006722,Opinion,denosumab,denosumab
Zonegran,EMEA/H/C/000577,Authorised,zonisamide,zonisamide
Vfend,EMEA/H/C/000387,Authorised,voriconazole,voriconazole
Lyrica,EMEA/H/C/000546,Authorised,pregabalin,pregabalin
Leqvio,EMEA/H/C/005333,Authorised,inclisiran,inclisiran
Jemperli,EMEA/H/C/005204,Authorised,dostarlimab,dostarlimab
Ogluo,EMEA/H/C/005391,Authorised,glucagon,Glucagon
Conexxence,EMEA/H/C/006268,Authorised,denosumab,denosumab
Viagra,EMEA/H/C/000202,Authorised,sildenafil,sildenafil
Revatio,EMEA/H/C/000638,Authorised,sildenafil,sildenafil
Bomyntra,EMEA/H/C/006269,Authorised,denosumab,denosumab
Zirabev,EMEA/H/C/004697,Authorised,bevacizumab,bevacizumab
Vyndaqel,EMEA/H/C/002294,Authorised,tafamidis,tafamidis
Rapamune,EMEA/H/C/000273,Authorised,sirolimus,sirolimus
Mylotarg,EMEA/H/C/004204,Authorised,gemtuzumab ozogamicin,gemtuzumab ozogamicin
Besponsa,EMEA/H/C/004119,Authorised,inotuzumab ozogamicin,Inotuzumab ozogamicin
Emblaveo,EMEA/H/C/006113,Authorised,aztreonam;avibactam,avibactam;aztreonam
Baqsimi,EMEA/H/C/003848,Authorised,glucagon,Glucagon
Emselex,EMEA/H/C/000554,Authorised,darifenacin hydrobromide,darifenacin hydrobromide
Thalidomide Lipomed,EMEA/H/C/005715,Authorised,thalidomide,thalidomide
Locametz,EMEA/H/C/005488,Authorised,gozetotide,gozetotide
Livmarli,EMEA/H/C/005857,Authorised,maralixibat chloride,Maralixibat chloride
Velsipity,EMEA/H/C/006007,Authorised,etrasimod,Etrasimod arginine
Taltz,EMEA/H/C/003943,Authorised,ixekizumab,ixekizumab
Axitinib Accord,EMEA/H/C/006206,Authorised,axitinib,axitinib
Loqtorzi,EMEA/H/C/006120,Authorised,toripalimab,toripalimab
Champix,EMEA/H/C/000699,Authorised,varenicline,varenicline
Nilotinib Accord,EMEA/H/C/006315,Authorised,nilotinib,nilotinib
Rukobia,EMEA/H/C/005011,Authorised,fostemsavir,fostemsavir trometamol
Rezzayo,EMEA/H/C/005900,Authorised,rezafungin,rezafungin
Ryjunea,EMEA/H/C/006324,Authorised,atropine sulfate,atropine sulfate
Spravato,EMEA/H/C/004535,Authorised,esketamine,esketamine hydrochloride
Vegzelma,EMEA/H/C/005534,Authorised,bevacizumab,bevacizumab
Hemlibra,EMEA/H/C/004406,Authorised,emicizumab,emicizumab
Tasmar,EMEA/H/C/000132,Authorised,tolcapone,tolcapone
Inflectra,EMEA/H/C/002778,Authorised,infliximab,infliximab
Zinforo,EMEA/H/C/002252,Authorised,ceftaroline fosamil,ceftaroline fosamil
Revlimid,EMEA/H/C/000717,Authorised,lenalidomide,lenalidomide
Tenofovir disoproxil Viatris (previously Tenofovir disoproxil Mylan),EMEA/H/C/004049,Authorised,tenofovir disoproxil,tenofovir disoproxil
Ecalta,EMEA/H/C/000788,Authorised,anidulafungin,anidulafungin
Equisolon,EMEA/V/C/002382,Authorised,Prednisolone,prednisolone
Equioxx,EMEA/V/C/000142,Authorised,firocoxib,firocoxib
Equilis West Nile,EMEA/V/C/002241,Authorised,inactivated chimaeric flavivirus strain YF-WN,inactivated chimaeric flavivirus strain YF-WN
Fungitraxx,EMEA/V/C/002722,Authorised,itraconazole,Itraconazole
Fortekor Plus,EMEA/V/C/002804,Authorised,benazepril;pimobendan,benazepril hydrochloride;pimobendan
Felpreva,EMEA/V/C/005464,Authorised,emodepside;praziquantel;tigolaner,emodepside;praziquantel;tigolaner
Fatrovax RHD,EMEA/V/C/005301,Authorised,"rabbit haemorrhagic disease vaccine (inactivated, recombinant)",rabbit hemorrhagic disease virus 2 VP1AB;rabbit hemorrhagic disease virus VP1A
Evant,EMEA/V/C/004902,Authorised,coccidiosis vaccine live for chickens,"Eimeria maxima, strain 013;Eimeria mitis, strain 006;Eimeria praecox, strain 007;Eimeria tenella, strain 004"
Evalon,EMEA/V/C/004013,Authorised,"Eimeria acervulina, strain 003;Eimeria brunetti, strain 034;Eimeria  maxima, strain 013;Eimeria necatrix, strain 033;Eimeria tenella, strain 004",vaccine against coccidiosis in chickens
Eurican Herpes 205,EMEA/V/C/000059,Authorised,canine herpes vaccine (inactivated subunit),Canine herpesvirus (F205 strain) antigens
Eryseng,EMEA/V/C/002761,Authorised,Erysipelothrix rhusiopathiae,"Erysipelothrix rhusiopathiae, strain R32E11 (inactivated)"
Eryseng Parvo,EMEA/V/C/002762,Authorised,porcine parvovirus and Erysipelothrix rhusiopathiae,"porcine parvovirus, strain NADL-2 and Erysipelothrix rhusiopathiae, strain R32E11 (inactivated)"
Procysbi,EMEA/H/C/002465,Authorised,mercaptamine,mercaptamine bitartrate
Lopinavir/Ritonavir Viatris (previously Ritonavir Mylan),EMEA/H/C/004025,Authorised,lopinavir;ritonavir,lopinavir;ritonavir
Nevanac,EMEA/H/C/000818,Authorised,nepafenac,nepafenac
Eksunbi,EMEA/H/C/006448,Withdrawn,ustekinumab,ustekinumab
Yaxwer,EMEA/H/C/006437,Authorised,denosumab,denosumab
Sephience,EMEA/H/C/006331,Authorised,sepiapterin,sepiapterin
Sunosi,EMEA/H/C/004893,Authorised,solriamfetol,solriamfetol hydrochloride
Wakix,EMEA/H/C/002616,Authorised,pitolisant,pitolisant
Nintedanib Viatris,EMEA/H/C/006486,Authorised,nintedanib,nintedanib
Equilis StrepE,EMEA/V/C/000078,Authorised,live vaccine against Streptococcus equi,live deletion-mutant Streptococcus equi strain TW928
Enteroporc Coli AC,EMEA/V/C/005149,Authorised,"neonatal piglet colibacillosis (recombinant, inactivated);Clostridium perfringens vaccine (inactivated)",inactivated fimbrial adhesins of Escherichia coli;clostridium perfringens type A/C toxoids
Emdocam,EMEA/V/C/002283,Authorised,meloxicam,meloxicam
Econor,EMEA/V/C/000042,Withdrawn,valnemulin,valnemulin
Easotic,EMEA/V/C/000140,Authorised,hydrocortisone aceponate;miconazole nitrate;gentamicin sulfate,gentamicin sulfate;hydrocortisone aceponate;miconazole nitrate
Draxxin,EMEA/V/C/000077,Authorised,tulathromycin,tulathromycin
Cortavance,EMEA/V/C/000110,Authorised,hydrocortisone aceponate,hydrocortisone aceponate
Contacera,EMEA/V/C/002612,Authorised,meloxicam,meloxicam
Coliprotec F4/F18,EMEA/V/C/004225,Authorised,porcine post-weaning diarrhoea vaccine (live),Live non-pathogenic Escherichia coli O141:K94 (F18ac) and O8:K87 (F4ac)
Clynav,EMEA/V/C/002390,Authorised,salmon pancreas disease vaccine (recombinant DNA plasmid),pUK-SPDV-poly2#1 DNA plasmid coding for salmon pancreas disease virus proteins
Clomicalm,EMEA/V/C/000039,Authorised,clomipramine,clomipramine hydrochloride
Eurartesim,EMEA/H/C/001199,Authorised,piperaquine tetraphosphate;artenimol,piperaquine tetraphosphate;artenimol
Topotecan Hospira,EMEA/H/C/001192,Authorised,topotecan,topotecan
Skyclarys,EMEA/H/C/006084,Authorised,omaveloxolone,omaveloxolone
Clevor,EMEA/V/C/004417,Authorised,ropinirole,ropinirole hydrochloride
Chanhold,EMEA/V/C/004824,Authorised,selamectin,selamectin
Baycox Iron,EMEA/V/C/004794,Authorised,toltrazuril;iron (III) ion,Iron(iii) ion;toltrazuril
Lokelma,EMEA/H/C/004029,Authorised,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate
Casgevy,EMEA/H/C/005763,Authorised,exagamglogene autotemcel,Exagamglogene autotemcel
Omvoh,EMEA/H/C/005122,Authorised,mirikizumab,Mirikizumab
Yeytuo,EMEA/H/C/006658,Authorised,lenacapavir,lenacapavir sodium
Tibsovo,EMEA/H/C/005936,Authorised,ivosidenib,Ivosidenib
Ryzneuta,EMEA/H/C/005828,Authorised,efbemalenograstim alfa,efbemalenograstim alfa
Azarga,EMEA/H/C/000960,Authorised,brinzolamide;timolol,brinzolamide;timolol maleate
Simbrinza,EMEA/H/C/003698,Authorised,brinzolamide;brimonidine tartrate,brinzolamide;brimonidine tartrate
Ebilfumin,EMEA/H/C/003717,Authorised,oseltamivir,oseltamivir
Syvazul BTV,EMEA/V/C/004611,Authorised,bluetongue virus vaccine (inactivated) (multistrain: 1-2 strains out of a set of 3),"Inactivated bluetongue virus, serotype 1, strain ALG2006/01 E1;Inactivated bluetongue virus, serotype 4, strain BTV-4/SPA-1/2004;Inactivated bluetongue virus, serotype 8, strain BEL2006/01"
Syvazul BTV 3,EMEA/V/C/006623,Authorised,bluetongue virus vaccine (inactivated),"bluetongue virus, serotype 3, BTV-3/NET2023, inactivated"
Daxocox,EMEA/V/C/005354,Authorised,enflicoxib,enflicoxib
Nobivac LeuFel,EMEA/V/C/004778,Authorised,feline leukaemia vaccine (inactivated),purified Rp-45 FeLV-envelope antigen
Nobivac Myxo-RHD Plus,EMEA/V/C/004989,Authorised,myxomatosis and rabbit haemorrhagic viral disease vaccine (live recombinant),Live myxoma vectored RHD virus strain 009;Live myxoma vectored  RHD virus strain  MK1899
Leucogen,EMEA/V/C/000144,Authorised,feline leukaemia vaccine (inactivated),purified p45 FeLV-envelope antigen
Eravac,EMEA/V/C/004239,Authorised,rabbit haemorrhagic disease vaccine (inactivated),"inactivated rabbit haemorrhagic disease type 2 virus (RHDV2), strainV-1037"
Startvac,EMEA/V/C/000130,Authorised,"adjuvanted inactivated vaccine for cattle against Staphylococcus aureus, coliforms and coagulase-negative staphylococci","Escherichia coli J5 inactivated;staphylococcus aureus (CP8) strain SP 140 inactivated, expressing slime-associated antigenic complex"
Suvaxyn CSF Marker,EMEA/V/C/002757,Authorised,classical swine fever vaccine (live recombinant),Live Recombinant E2 gene-deleted bovine viral diarrhoea virus containing classical swine fever virus E2 gene (CP7_E2alf)
NexGard,EMEA/V/C/002729,Authorised,afoxolaner,afoxolaner
Nexgard Spectra,EMEA/V/C/003842,Authorised,afoxolaner;milbemycin oxime,afoxolaner;milbemycin oxime
Fluralaner Intervet,EMEA/V/C/006356,Authorised,fluralaner,fluralaner
Innovax-ND-IBD-ILT,EMEA/V/C/006442,Authorised,avian infectious laryngotracheitis;infectious bursal disease;Marek's disease vaccine (live recombinant);Newcastle disease virus vaccine (inactivated),"turkey herpesvirus strain HVT/ND/IBD/ILT (cell-associated), expressing the fusion protein gene of Newcastle disease virus, the VP2 protein gene of infectious bursal disease virus and the glycoproteins gD and gI genes of infectious laryngotracheitis virus, live"
Blenrep,EMEA/H/C/006511,Authorised,belantamab mafodotin,belantamab mafodotin
Nobilis Multriva Gm+REOm,EMEA/V/C/006614,Authorised,avian infectious bursal disease;avian reovirus vaccine (inactivated),"inactivated avian reovirus strain ARV-1;inactivated avian reovirus strain ARV-4;inactivated infectious bursal disease virus, strain 89/03;Inactivated infectious bursal disease virus, strain GB02"
Nobilis Multriva IBm+ND,EMEA/V/C/006589,Authorised,avian infectious bronchitis virus;Newcastle disease virus vaccine (inactivated),"inactivated avian infectious bronchitis virus, type Massachusetts, strain M41;inactivated avian infectious bronchitis virus, type 793/B, strain 4-91;Newcastle disease virus, strain Ulster, inactivated"
Bravecto CombiUNO,EMEA/V/C/006358,Authorised,fluralaner;milbemycin oxime,fluralaner;milbemycin oxime
Zenrelia,EMEA/V/C/006332,Authorised,ilunocitinib,ilunocitinib
Numelvi,EMEA/V/C/006480,Authorised,atinvicitinib,atinvicitinib
Jcovden (previously COVID-19 Vaccine Janssen),EMEA/H/C/005737,Withdrawn,COVID-19 vaccine (Ad26.COV2-S [recombinant]),adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S)
Nintedanib Accord,EMEA/H/C/006179,Authorised,nintedanib,nintedanib
Talzenna,EMEA/H/C/004674,Authorised,talazoparib,talazoparib
Nubeqa,EMEA/H/C/004790,Authorised,darolutamide,darolutamide
Vevzuo,EMEA/H/C/006534,Authorised,denosumab,denosumab
Jeraygo,EMEA/H/C/006080,Authorised,aprocitentan,aprocitentan
Rivaroxaban Accord,EMEA/H/C/005279,Authorised,rivaroxaban,rivaroxaban
Zolgensma,EMEA/H/C/004750,Authorised,onasemnogene abeparvovec,onasemnogene abeparvovec
Sarclisa,EMEA/H/C/004977,Authorised,isatuximab,Isatuximab
Icatibant Accord,EMEA/H/C/005083,Authorised,icatibant,icatibant acetate
Tabrecta,EMEA/H/C/004845,Authorised,capmatinib,capmatinib dihydrochloride monohydrate
Laventair Ellipta (previously Laventair),EMEA/H/C/003754,Authorised,umeclidinium bromide;vilanterol,umeclidinium bromide;vilanterol
Roteas,EMEA/H/C/004339,Authorised,edoxaban,edoxaban tosilate
Lixiana,EMEA/H/C/002629,Authorised,edoxaban,edoxaban tosilate
Kyntheum,EMEA/H/C/003959,Authorised,brodalumab,brodalumab
Betmiga,EMEA/H/C/002388,Authorised,mirabegron,Mirabegron
Pregabalin Accord,EMEA/H/C/004024,Authorised,pregabalin,pregabalin
Felisecto Plus,EMEA/V/C/005093,Withdrawn,selamectin;sarolaner,selamectin;sarolaner
Iscover,EMEA/H/C/000175,Authorised,clopidogrel,clopidogrel
Dimethyl fumarate Accord,EMEA/H/C/006471,Authorised,dimethyl fumarate,dimethyl fumarate
Zykadia,EMEA/H/C/003819,Authorised,ceritinib,ceritinib
Klisyri,EMEA/H/C/005183,Authorised,tirbanibulin,tirbanibulin
Galafold,EMEA/H/C/004059,Authorised,migalastat,migalastat hydrochloride
Vimkunya,EMEA/H/C/005470,Authorised,"Chikungunya vaccine (recombinant, adsorbed)","Chikungunya virus (CHIKV) virus-like particle (VLP) proteins (capsid protein (C) and envelope proteins E1 and E2) derived from CHIKV Senegal strain 37997 produced in human embryonic kidney cells by recombinant DNA technology, adsorbed on aluminium hydroxide, hydrated"
Ninlaro,EMEA/H/C/003844,Authorised,ixazomib,ixazomib citrate
Trodelvy,EMEA/H/C/005182,Authorised,sacituzumab govitecan,sacituzumab govitecan
Fampyra,EMEA/H/C/002097,Authorised,fampridine,Fampridine
Spevigo,EMEA/H/C/005874,Authorised,spesolimab,spesolimab
Evfraxy,EMEA/H/C/006526,Authorised,denosumab,denosumab
Esmya,EMEA/H/C/002041,Withdrawn,ulipristal,ulipristal acetate
Raxone,EMEA/H/C/003834,Authorised,idebenone,idebenone
Qaialdo,EMEA/H/C/005535,Authorised,spironolactone,spironolactone
Opzelura,EMEA/H/C/005843,Authorised,ruxolitinib,ruxolitinib phosphate
Ezmekly,EMEA/H/C/006460,Authorised,mirdametinib,mirdametinib
Aucatzyl,EMEA/H/C/005907,Authorised,obecabtagene autoleucel,obecabtagene autoleucel
Qdenga,EMEA/H/C/005155,Authorised,"dengue tetravalent vaccine (live, attenuated)","Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated;Dengue virus, serotype 2, live, attenuated"
Tyruko,EMEA/H/C/005752,Authorised,natalizumab,natalizumab
Fluenz Tetra,EMEA/H/C/002617,Withdrawn,"influenza vaccine (live attenuated, nasal)","A/Darwin/9/2021 (H3N2) - like strain (A/Norway/16606/2021, MEDI 355293) / A/Victoria/2570/2019 (H1N1)pdm09 - like strain (A/Victoria/1/2020, MEDI 340505) / B/Austria/1359417/2021 - like strain (B/Austria/1359417/2021, MEDI 355292) / B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, MEDI 306444)"
Sixmo,EMEA/H/C/004743,Withdrawn,buprenorphine,buprenorphine hydrochloride
Imjudo,EMEA/H/C/006016,Authorised,tremelimumab,tremelimumab
Amvuttra,EMEA/H/C/005852,Authorised,vutrisiran,vutrisiran sodium
Apixaban Accord,EMEA/H/C/005358,Authorised,apixaban,apixaban
Exparel liposomal,EMEA/H/C/004586,Authorised,bupivacaine,bupivacaine
Stribild,EMEA/H/C/002574,Authorised,elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil,elvitegravir;cobicistat;emtricitabine;tenofovir disoproxil fumarate
Wyost,EMEA/H/C/006378,Authorised,denosumab,denosumab
Instanyl,EMEA/H/C/000959,Authorised,fentanyl,Fentanyl citrate
Ferriprox,EMEA/H/C/000236,Authorised,deferiprone,Deferiprone
Chenodeoxycholic acid Leadiant (previously Chenodeoxycholic acid sigma-tau),EMEA/H/C/004061,Authorised,chenodeoxycholic acid,chenodeoxycholic acid
Enbrel,EMEA/H/C/000262,Authorised,etanercept,etanercept
Dazublys,EMEA/H/C/006219,Authorised,trastuzumab,trastuzumab
Dyrupeg,EMEA/H/C/006407,Authorised,pegfilgrastim,pegfilgrastim
Targretin,EMEA/H/C/000326,Authorised,bexarotene,bexarotene
Naveruclif,EMEA/H/C/006173,Authorised,paclitaxel,paclitaxel
Zometa,EMEA/H/C/000336,Authorised,zoledronic acid,zoledronic acid;zoledronic acid monohydrate
Jinarc,EMEA/H/C/002788,Authorised,tolvaptan,tolvaptan
Cystadrops,EMEA/H/C/003769,Authorised,mercaptamine,mercaptamine hydrochloride
LysaKare,EMEA/H/C/004541,Authorised,arginine;lysine,L-arginine hydrochloride;L-lysine hydrochloride
Zebinix,EMEA/H/C/000988,Authorised,eslicarbazepine acetate,eslicarbazepine acetate
Enurev Breezhaler,EMEA/H/C/002691,Authorised,glycopyrronium bromide,glycopyrronium bromide
Tovanor Breezhaler,EMEA/H/C/002690,Authorised,glycopyrronium bromide,glycopyrronium bromide
Seebri Breezhaler,EMEA/H/C/002430,Authorised,glycopyrronium bromide,glycopyrronium bromide
Kengrexal,EMEA/H/C/003773,Authorised,cangrelor,cangrelor
Riximyo,EMEA/H/C/004729,Authorised,rituximab,rituximab
Omnitrope,EMEA/H/C/000607,Authorised,somatropin,somatropin
Emtricitabine / Tenofovir alafenamide Viatris,EMEA/H/C/006469,Authorised,emtricitabine;tenofovir alafenamide,emtricitabine;tenofovir alafenamide fumarate
Docetaxel Kabi,EMEA/H/C/002325,Authorised,docetaxel,docetaxel
Vitrakvi,EMEA/H/C/004919,Authorised,larotrectinib,larotrectinib sulfate
Kalydeco,EMEA/H/C/002494,Authorised,ivacaftor,ivacaftor
Rezolsta,EMEA/H/C/002819,Authorised,darunavir;cobicistat,darunavir;cobicistat
Bexsero,EMEA/H/C/002333,Authorised,"meningococcal group B Vaccine (rDNA, component, adsorbed)",outer membrane vesicles from neisseria meningitidis group b (strain nz 98/254);recombinant Neisseria meningitidis group B fHbp fusion protein;recombinant Neisseria meningitidis group B NadA protein;recombinant Neisseria meningitidis group B NHBA fusion protein
Enjaymo,EMEA/H/C/005776,Authorised,sutimlimab,sutimlimab
Evkeeza,EMEA/H/C/005449,Authorised,evinacumab,Evinacumab
Vyloy,EMEA/H/C/005868,Authorised,zolbetuximab,zolbetuximab
Saxenda,EMEA/H/C/003780,Authorised,liraglutide,liraglutide
Trulicity,EMEA/H/C/002825,Authorised,dulaglutide,dulaglutide
Trepulmix,EMEA/H/C/005207,Authorised,treprostinil,treprostinil sodium
Anoro Ellipta (previously Anoro),EMEA/H/C/002751,Authorised,umeclidinium bromide;vilanterol,umeclidinium bromide;vilanterol trifenatate
Sugammadex Piramal,EMEA/H/C/006083,Authorised,sugammadex,sugammadex sodium
Emevet,EMEA/V/C/006439,Authorised,maropitant,Maropitant citrate monohydrate
Xgeva,EMEA/H/C/002173,Authorised,denosumab,denosumab
Eklira Genuair,EMEA/H/C/002211,Authorised,aclidinium bromide,aclidinium bromide
Duaklir Genuair,EMEA/H/C/003745,Authorised,aclidinium bromide;formoterol,aclidinium bromide;formoterol fumarate dihydrate
Iqirvo,EMEA/H/C/006231,Authorised,elafibranor,Elafibranor
Hukyndra,EMEA/H/C/005548,Authorised,adalimumab,adalimumab
Jubereq,EMEA/H/C/006398,Authorised,denosumab,denosumab
Xofigo,EMEA/H/C/002653,Authorised,radium Ra223 dichloride,radium (223Ra) dichloride
Vildagliptin / Metformin hydrochloride Accord,EMEA/H/C/005738,Authorised,vildagliptin;metformin hydrochloride,metformin hydrochloride;vildagliptin
Ifinwil,EMEA/H/C/006067,Application withdrawn,eflornithine,eflornithine hydrochloride monohydrate
Xoterna Breezhaler,EMEA/H/C/003755,Authorised,indacaterol;glycopyrronium bromide,indacaterol;glycopyrronium bromide
Volibris,EMEA/H/C/000839,Authorised,ambrisentan,ambrisentan
Ultibro Breezhaler,EMEA/H/C/002679,Authorised,indacaterol;glycopyrronium bromide,indacaterol;glycopyrronium bromide
Armisarte (previously Pemetrexed Actavis),EMEA/H/C/004109,Authorised,pemetrexed,pemetrexed diacid monohydrate
Ulunar Breezhaler,EMEA/H/C/003875,Authorised,indacaterol;glycopyrronium bromide,glycopyrronium bromide;indacaterol maleate
Cresemba,EMEA/H/C/002734,Authorised,isavuconazole,isavuconazole
Amlodipine  / Valsartan Mylan,EMEA/H/C/004037,Authorised,amlodipine;valsartan,amlodipine besilate;valsartan
Sugammadex Amomed,EMEA/H/C/005935,Authorised,sugammadex,sugammadex sodium
Supemtek Tetra (previously Supemtek),EMEA/H/C/005159,Authorised,"quadrivalent influenza vaccine (recombinant, prepared in cell culture)","Influenza A virus subtype H1N1 haemagglutinin, recombinant;Influenza A virus subtype H3N2 haemagglutinin, recombinant;Influenza B virus Victoria lineage haemagglutinin, recombinant;Influenza B virus Yamagata lineage haemagglutinin, recombinant"
Sondelbay,EMEA/H/C/005827,Authorised,teriparatide,teriparatide
Incruse Ellipta (previously Incruse),EMEA/H/C/002809,Authorised,umeclidinium bromide,umeclidinium bromide
Lynozyfic,EMEA/H/C/006370,Authorised,linvoseltamab,linvoseltamab
Zyclara,EMEA/H/C/002387,Authorised,imiquimod,imiquimod
Ztalmy,EMEA/H/C/005825,Authorised,ganaxolone,ganaxolone
Osenvelt,EMEA/H/C/006157,Authorised,denosumab,denosumab
Fampridine Accord,EMEA/H/C/005359,Authorised,fampridine,Fampridine
Duvyzat,EMEA/H/C/006079,Authorised,givinostat,givinostat hydrochloride monohydrate
Aldara,EMEA/H/C/000179,Authorised,imiquimod,imiquimod
Tolura,EMEA/H/C/001196,Authorised,telmisartan,telmisartan
Soliris,EMEA/H/C/000791,Authorised,eculizumab,Eculizumab
Cevac Reomune,EMEA/V/C/006142,Authorised,avian reovirus vaccine (inactivated),"avian reovirus, strain S1133, inactivated;avian reovirus, strain 11-12523, inactivated"
Nordimet,EMEA/H/C/003983,Authorised,methotrexate,methotrexate
Nimvastid,EMEA/H/C/001029,Authorised,rivastigmine,rivastigmine
Ivabradine Zentiva,EMEA/H/C/004117,Authorised,ivabradine,ivabradine hydrochloride
Byooviz,EMEA/H/C/005545,Authorised,ranibizumab,ranibizumab
Fymskina,EMEA/H/C/005805,Authorised,ustekinumab,ustekinumab
Sugammadex Mylan,EMEA/H/C/005403,Authorised,sugammadex,sugammadex sodium
Javlor,EMEA/H/C/000983,Authorised,vinflunine,vinflunine
Ilumetri,EMEA/H/C/004514,Authorised,tildrakizumab,tildrakizumab
Trabectedin Accord,EMEA/H/C/006433,Authorised,trabectedin,trabectedin
Natpar,EMEA/H/C/003861,Authorised,parathyroid hormone,parathyroid hormone
Pomalidomide Krka,EMEA/H/C/006314,Authorised,pomalidomide,Pomalidomide
Plavix,EMEA/H/C/000174,Authorised,clopidogrel,clopidogrel hydrogen sulfate
Ruxience,EMEA/H/C/004696,Authorised,rituximab,rituximab
Axumin,EMEA/H/C/004197,Authorised,fluciclovine (18F),fluciclovine (18F)
Tepezza,EMEA/H/C/006396,Authorised,teprotumumab,teprotumumab
Flucelvax,EMEA/H/C/006532,Authorised,"influenza vaccine (surface antigen, inactivated, prepared in cell cultures)",A/Wisconsin/67/2022 (H1N1)pdm09-like strain (A/Georgia/12/2022 CVR-167) / A/District of Columbia/27/2023 (H3N2)-like strain (A/Victoria/800/2024 CVR-289) / B/Austria/1359417/2021-like strain (B/Singapore/WUH4618/2021)
